0	1	mikroCPIC32.exe -MSF -DBG -pP32MZ2048EFH100 -RA -LHF -DL -SSA -EBASE 0x9FC01000 -INTDEF MV_SRS7_IS32 -O11111114 -fo200 -N"C:\Users\GIT\Pic32mzCNC\Pic32mzClicker2_StepperControl.mcp32" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC32\Defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC32\Uses\" -SP"C:\Users\GIT\Pic32mzCNC\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC32\Packages\I2C_Lcd\Uses\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC32\Uses\" -IP"C:\Users\GIT\Pic32mzCNC\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC32\Packages\I2C_Lcd\Uses\" "Main.c" "Config.c" "Stepper.c" "Steptodistance.c" "Timers.c" "__Lib_CP0.emcl" "__Lib_Math.emcl" "__Lib_MathDouble_MZ_EF.emcl" "__Lib_System_MZ_EF.emcl" "__Lib_SoftResetDma.emcl" "__Lib_Delays.emcl" "__Lib_CType.emcl" "__Lib_CString.emcl" "__Lib_CStdlib_EF.emcl" "__Lib_CMath_EF.emcl" "__Lib_Conversions_EF.emcl" "__Lib_Sprintf_EF.emcl" "__Lib_Sprinti.emcl" "__Lib_Sprintl.emcl" "__Lib_I2C_12345_MZ.emcl" "__Lib_UART_123456_MZ.emcl" "__Lib_PPS_P32MZ_100CAN.emcl" "I2C_LCD.emcl"	 
diagnostics: 0	122	Compilation Started	P32MZ2048EFH100.c
diagnostics: 65825	123	Compiled Successfully	P32MZ2048EFH100.c
diagnostics: 0	122	Compilation Started	__Lib_Delays.c
diagnostics: 176	123	Compiled Successfully	__Lib_Delays.c
diagnostics: 0	122	Compilation Started	i2c_lcd.h
warning: 58	1503	Result is not defined in function: 'I2C_PCF8574_Write'	I2C_LCD.c
diagnostics: 194	123	Compiled Successfully	I2C_LCD.c
diagnostics: 0	122	Compilation Started	config.h
diagnostics: 229	123	Compiled Successfully	Main.c
diagnostics: 0	122	Compilation Started	config.h
diagnostics: 390	123	Compiled Successfully	Config.c
diagnostics: 0	122	Compilation Started	stepper.h
diagnostics: 732	123	Compiled Successfully	Stepper.c
diagnostics: 0	122	Compilation Started	steptodistance.h
diagnostics: 22	123	Compiled Successfully	Steptodistance.c
diagnostics: 0	122	Compilation Started	config.h
diagnostics: 39	123	Compiled Successfully	Timers.c
diagnostics: 0	127	All files Compiled in 313 ms	 
diagnostics: 0	125	Project Linked Successfully	Pic32mzClicker2_StepperControl.mcp32
diagnostics: 0	128	Linked in 594 ms	 
diagnostics: 0	129	Project 'Pic32mzClicker2_StepperControl.mcp32' completed: 2313 ms	 
diagnostics: 0	103	Finished successfully: 21 Feb 2021, 20:56:13	Pic32mzClicker2_StepperControl.mcp32
